CustomerId,Surname,Credit_Score,Geography,Gender,Age,Tenure,Balance,Number_Of_Products,Has_Credit_Card,Is_Active_Member,Estimated_Salary,Customer_Status,Age_Group,Credit_Score_Band,Balance Category
15725311,Hay,726,France,Female,31,9,114722.05,2,Yes,Yes,98178.57,Retained,Adult,Good,High balance
15787155,Yang,514,Spain,Male,30,7,0,1,No,Yes,125010.24,Retained,Young Adult,Poor,Zero Balance
15727829,McIntyre,567,France,Male,42,2,0,2,Yes,Yes,167984.61,Retained,Adult,Poor,Zero Balance
15733247,Stevenson,850,France,Male,33,10,0,1,Yes,No,4861.72,Exited,Adult,Excellent,Zero Balance
15568748,Poole,671,Germany,Male,45,6,99564.22,1,Yes,Yes,108872.45,Exited,Adult,Good,Medium Balance
15699029,Bagley,670,France,Male,37,4,170557.91,2,Yes,No,198252.88,Retained,Adult,Good,High balance
15774393,Ch'ien,694,France,Female,30,9,0,2,Yes,Yes,26960.31,Retained,Young Adult,Good,Zero Balance
15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3,Yes,Yes,85746.52,Exited,Adult,Poor,Medium Balance
15637753,O'Sullivan,751,Germany,Male,50,2,96888.39,1,Yes,No,77206.25,Exited,Middle-Aged,Very Good,Medium Balance
15605461,Lucas,594,Germany,Female,29,3,130830.22,1,Yes,No,61048.53,Retained,Young Adult,Fair,High balance
15808473,Ringrose,673,France,Male,72,1,0,2,No,Yes,111981.19,Retained,Senior,Good,Zero Balance
15627000,Freeman,610,France,Male,40,0,0,2,Yes,No,62232.6,Retained,Adult,Fair,Zero Balance
15787174,Sergeyev,512,France,Female,37,1,0,2,No,Yes,156105.03,Retained,Adult,Poor,Zero Balance
15723886,Fiore,767,Germany,Male,20,3,119714.25,2,No,Yes,150135.38,Retained,Young Adult,Very Good,High balance
15704769,Smith,585,France,Female,67,5,113978.97,2,No,Yes,93146.11,Retained,Senior,Fair,High balance
15772896,Dumetochukwu,763,Germany,Male,42,6,100160.75,1,Yes,No,33462.94,Exited,Adult,Very Good,High balance
15711540,Pacheco,712,France,Female,29,2,0,1,Yes,Yes,144375,Retained,Young Adult,Good,Zero Balance
15764866,Synnot,539,Germany,Female,43,3,116220.5,3,Yes,No,55803.96,Exited,Adult,Poor,High balance
15794056,Johnston,668,France,Female,46,2,0,3,Yes,No,89048.46,Exited,Middle-Aged,Fair,Zero Balance
15795149,Stevens,703,France,Male,28,2,81173.83,2,No,Yes,162812.16,Retained,Young Adult,Good,Medium Balance
15812009,Grant,662,Spain,Male,38,4,0,2,Yes,No,136259.65,Retained,Adult,Fair,Zero Balance
15651001,Tsao,725,Germany,Female,39,5,116803.8,1,Yes,No,124052.97,Retained,Adult,Good,High balance
